"transition","15-16","17-19","20-24","25-29","30-34","35-39","40-49","50-59","60-69","70-79"
"NN","96.8 (94.2,  98.7)","96.7 (94.2,  98.6)","97.0 (94.9,  98.7)","97.4 (95.1, 100.0)","97.3 (94.7,  99.7)","96.8 (93.8,  99.6)","98.0 (96.2,  99.8)","98.5 (97.2,  99.9)","99.2 (98.4,  99.9)","99.2 (98.5,  99.9)"
"NC"," 2.7 ( 0.9,   5.3)"," 2.8 ( 1.0,   5.3)"," 2.6 ( 1.0,   4.7)"," 2.6 ( 1.0,   4.7)"," 2.7 ( 1.0,   5.2)"," 3.2 ( 1.1,   6.1)"," 2.0 ( 0.7,   3.7)"," 1.5 ( 0.5,   2.7)"," 0.8 ( 0.3,   1.5)"," 0.8 ( 0.3,   1.4)"
"ND"," 0.1 ( 0.0,   0.8)"," 0.1 ( 0.0,   0.8)"," 0.1 ( 0.0,   0.7)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"
"NE"," 0.4 ( 0.0,   0.9)"," 0.4 ( 0.0,   0.9)"," 0.3 ( 0.0,   0.8)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"
"CC","87.2 (70.5,  97.3)","77.1 (61.8,  91.4)","79.1 (67.0,  90.4)","82.8 (68.9,  94.4)","81.7 (64.7,  95.0)","79.3 (58.9,  94.4)","73.8 (59.0,  87.1)","72.9 (61.2,  81.5)","75.5 (58.0,  91.0)","82.0 (60.1,  95.9)"
"CQ"," 5.6 ( 0.1,  19.6)"," 7.8 ( 0.3,  21.2)","10.0 ( 0.9,  20.1)"," 6.0 ( 0.2,  16.9)"," 6.4 ( 0.2,  19.1)"," 8.7 ( 0.3,  26.4)","12.4 ( 1.3,  26.9)","14.2 ( 3.7,  27.0)","19.2 ( 3.7,  36.7)","11.1 ( 0.4,  32.5)"
"CD"," 4.4 ( 0.1,  15.4)","12.8 ( 0.9,  26.3)"," 9.4 ( 0.7,  19.9)"," 8.4 ( 0.4,  20.7)"," 8.6 ( 0.3,  23.8)"," 6.5 ( 0.2,  21.7)"," 9.3 ( 0.6,  21.2)"," 7.6 ( 1.6,  13.9)"," 1.9 ( 0.1,   6.0)"," 2.6 ( 0.1,   8.6)"
"CE"," 2.9 ( 0.1,  10.3)"," 2.4 ( 0.1,   7.4)"," 1.6 ( 0.0,   5.1)"," 2.8 ( 0.1,   8.7)"," 3.3 ( 0.1,  10.3)"," 5.5 ( 0.2,  17.4)"," 4.4 ( 0.2,  12.6)"," 5.3 ( 0.3,  13.1)"," 3.5 ( 0.1,  10.6)"," 4.3 ( 0.1,  14.0)"
"QC","11.4 ( 0.3,  42.3)","10.0 ( 0.3,  38.0)"," 8.4 ( 0.2,  32.2)"," 4.6 ( 0.1,  15.7)"," 4.7 ( 0.1,  16.5)"," 3.9 ( 0.1,  14.0)"," 2.7 ( 0.1,   9.6)"," 2.7 ( 0.1,   9.5)"," 1.3 ( 0.0,   4.6)"," 1.9 ( 0.0,   6.9)"
"QQ","88.6 (70.4,  98.5)","90.0 (74.3,  98.6)","91.6 (78.2,  98.8)","92.1 (80.0,  98.8)","91.5 (78.3,  98.8)","91.8 (79.1,  98.9)","93.9 (85.3,  99.1)","93.3 (85.1,  98.8)","97.8 (94.2,  99.7)","96.6 (91.1,  99.5)"
"QD"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.4 ( 0.0,   4.1)"," 0.3 ( 0.0,   3.8)"," 0.2 ( 0.0,   2.8)"," 0.2 ( 0.0,   2.1)"," 0.2 ( 0.0,   1.9)"," 0.0 ( 0.0,   0.3)"," 0.0 ( 0.0,   0.5)"
"QE"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 0.0 ( 0.0,   0.0)"," 2.9 ( 0.1,   9.3)"," 3.5 ( 0.1,  11.3)"," 4.0 ( 0.1,  13.4)"," 3.2 ( 0.1,   9.6)"," 3.9 ( 0.2,   9.5)"," 0.9 ( 0.0,   2.9)"," 1.4 ( 0.0,   4.6)"
"DC","17.4 ( 0.6,  53.6)","11.4 ( 0.3,  40.4)"," 9.7 ( 0.2,  34.2)","15.1 ( 0.4,  48.1)","15.3 ( 0.5,  48.5)","15.2 ( 0.4,  48.6)","13.0 ( 0.3,  42.8)","14.6 ( 0.5,  46.9)","18.9 ( 0.6,  56.0)","17.9 ( 0.5,  54.4)"
"DQ","17.4 ( 0.6,  53.8)","13.5 ( 0.4,  45.1)","12.9 ( 0.3,  42.6)","17.7 ( 0.6,  51.6)","18.1 ( 0.6,  53.2)","19.4 ( 0.7,  56.3)","21.2 ( 0.8,  58.2)","17.2 ( 0.5,  52.4)","22.9 ( 0.9,  62.4)","20.1 ( 0.7,  58.2)"
"DD","49.9 (14.6,  85.2)","59.1 (21.7,  89.5)","61.3 (25.8,  89.9)","55.1 (19.9,  86.2)","53.0 (18.4,  85.5)","49.3 (15.7,  83.2)","49.6 (15.4,  83.2)","46.2 (13.2,  82.0)","40.3 (11.0,  75.3)","44.6 (12.4,  80.6)"
"DE","15.3 ( 0.5,  49.1)","15.9 ( 0.5,  47.9)","16.0 ( 0.6,  46.1)","12.2 ( 0.4,  37.9)","13.6 ( 0.4,  42.5)","16.1 ( 0.5,  49.1)","16.2 ( 0.5,  47.7)","22.0 ( 0.8,  59.5)","17.9 ( 0.6,  53.6)","17.5 ( 0.5,  53.4)"
"EN","16.8 ( 0.5,  52.2)","17.7 ( 0.6,  54.0)","17.8 ( 0.6,  54.2)","22.4 ( 0.8,  61.2)","21.3 ( 0.8,  59.9)","20.0 ( 0.7,  57.8)","29.2 ( 1.9,  66.3)","29.9 ( 2.6,  63.4)"," 9.9 ( 0.3,  33.8)","12.2 ( 0.3,  41.2)"
"EC","16.6 ( 0.5,  51.8)","12.8 ( 0.4,  42.9)","12.3 ( 0.3,  41.3)","15.5 ( 0.4,  49.7)","14.9 ( 0.4,  48.3)","14.3 ( 0.4,  47.4)","11.7 ( 0.3,  39.4)","10.5 ( 0.3,  35.3)","21.1 ( 0.7,  58.8)","19.5 ( 0.6,  57.1)"
"ED","16.8 ( 0.5,  52.6)","17.6 ( 0.6,  53.7)","17.4 ( 0.6,  53.3)","17.2 ( 0.5,  53.8)","15.6 ( 0.5,  49.8)","14.4 ( 0.4,  48.2)","12.3 ( 0.3,  41.6)"," 9.4 ( 0.3,  31.2)","10.6 ( 0.3,  34.5)","12.5 ( 0.4,  41.5)"
"EE","49.8 (14.6,  85.3)","51.9 (16.2,  86.1)","52.5 (16.5,  86.3)","44.9 (11.6,  81.9)","48.2 (13.3,  84.3)","51.2 (14.3,  86.4)","46.8 (13.3,  82.2)","50.2 (18.9,  82.5)","58.5 (20.9,  88.8)","55.8 (18.3,  88.3)"
